	MeSH Disease Term	PubMed occurrence	MeSH Disease ID
1389	Tuberculosis, Multidrug-Resistant	1472	D018088
1390	Skin Diseases, Bacterial	1471	D017192
1391	Onychomycosis	1471	D014009
1392	Cerebral Ventricle Neoplasms	1471	D002551
1393	Hair Diseases	1469	D006201
1394	Fractures, Stress	1467	D015775
1395	Child Development Disorders, Pervasive	1467	D002659
1396	Helminthiasis	1465	D006373
1397	Pericarditis, Constrictive	1465	D010494
1398	Marijuana Abuse	1465	D002189
1399	Thrombocytosis	1462	D013922
1400	Blood Group Incompatibility	1461	D001787
1401	Paresis	1460	D010291
1402	Cumulative Trauma Disorders	1460	D012090
1403	Biliary Fistula	1459	D001658
1404	Bronchopulmonary Dysplasia	1457	D001997
1405	Retinal Perforations	1457	D012167
1406	Chylothorax	1455	D002916
1407	Neuroleptic Malignant Syndrome	1455	D009459
1408	Gangrene	1455	D005734
1409	Viremia	1454	D014766
1410	Spinal Osteophytosis	1454	D013128
1411	Brain Infarction	1454	D020520
1412	Encephalitis, Viral	1453	D018792
1413	Pulmonary Eosinophilia	1453	D011657
1414	Conjunctival Diseases	1453	D003229
1415	Epidermolysis Bullosa	1453	D004820
1416	Decompression Sickness	1451	D003665
1417	Urogenital Neoplasms	1450	D014565
1418	Retroviridae Infections	1449	D012192
1419	Giant Lymph Node Hyperplasia	1449	D005871
1420	Craniopharyngioma	1448	D003397
1421	Sigmoid Neoplasms	1446	D012811
1422	Prostatic Diseases	1441	D011469
1423	Immune Complex Diseases	1441	D007105
1424	Dermatitis Herpetiformis	1438	D003874
1425	Sarcoma, Synovial	1435	D013584
1426	Esophageal Perforation	1433	D004939
1427	Leukocytosis	1429	D007964
1428	Genital Neoplasms, Male	1428	D005834
1429	Vitamin E Deficiency	1426	D014811
1430	Q Fever	1425	D011778
1431	Carcinosarcoma	1425	D002296
1432	Carcinoma, Lobular	1425	D018275
1433	Epilepsies, Myoclonic	1424	D004831
1434	Polymyalgia Rheumatica	1423	D011111
1435	Postpartum Hemorrhage	1423	D006473
1436	Vertebrobasilar Insufficiency	1422	D014715
1437	Vascular Neoplasms	1421	D019043
1438	Prediabetic State	1421	D011236
1439	Keratoconus	1419	D007640
1440	Meningitis, Pneumococcal	1418	D008586
1441	Hemangioendothelioma	1417	D006390
1442	Tuberculosis, Miliary	1416	D014391
1443	Osteopetrosis	1416	D010022
1444	Keloid	1415	D007627
1445	Pregnancy, Tubal	1414	D011274
1446	Eye Abnormalities	1413	D005124
1447	Lymphoma, AIDS-Related	1412	D016483
1448	Erythema Nodosum	1411	D004893
1449	Retinal Neoplasms	1409	D019572
1450	Papilledema	1409	D010211
1451	Facies	1409	D019066
1452	Blepharoptosis	1407	D001763
1453	Leukemia, Monocytic, Acute	1405	D007948
1454	Fungemia	1403	D016469
1455	Dysentery, Amebic	1403	D004404
1456	Menorrhagia	1403	D008595
1457	Lactose Intolerance	1402	D007787
1458	Intracranial Embolism	1400	D020766
1459	Subacute Sclerosing Panencephalitis	1399	D013344
1460	Lupus Erythematosus, Discoid	1398	D008179
1461	Cluster Headache	1395	D003027
1462	Lipid Metabolism, Inborn Errors	1395	D008052
1463	Sprains and Strains	1395	D013180
1464	Onchocerciasis	1393	D009855
1465	Trichomonas Vaginitis	1393	D014247
1466	Spinal Stenosis	1391	D013130
1467	Contusions	1389	D003288
1468	Trophoblastic Neoplasms	1388	D014328
1469	Microcephaly	1384	D008831
1470	Common Bile Duct Diseases	1383	D003137
1471	Blister	1379	D001768
1472	Gambling	1379	D005715
1473	Intracranial Hemorrhages	1378	D020300
1474	Adjustment Disorders	1376	D000275
1475	Facial Injuries	1372	D005151
1476	Endometrial Hyperplasia	1371	D004714
1477	Dissociative Disorders	1370	D004213
1478	Hemoperitoneum	1366	D006465
1479	Dry Eye Syndromes	1366	D015352
1480	Craniosynostoses	1365	D003398
1481	Birth Injuries	1364	D001720
1482	Carcinoma 256, Walker	1363	D002279
1483	Lacrimal Apparatus Diseases	1362	D007766
1484	Granuloma, Plasma Cell	1360	D006104
1485	Ameloblastoma	1358	D000564
1486	Osteoma, Osteoid	1356	D010017
1487	Phlebitis	1355	D010689
1488	Pancreatitis, Acute Necrotizing	1353	D019283
1489	Encephalomyelitis	1353	D004679
1490	Eosinophilic Granuloma	1350	D004803
1491	Carbohydrate Metabolism, Inborn Errors	1349	D002239
1492	Zollinger-Ellison Syndrome	1348	D015043
1493	Epilepsy, Generalized	1346	D004829
1494	Pancreatic Pseudocyst	1344	D010192
1495	Moyamoya Disease	1343	D009072
1496	Psychomotor Agitation	1340	D011595
1497	Histiocytosis, Non-Langerhans-Cell	1340	D015616
1498	Neoplasms, Glandular and Epithelial	1338	D009375
1499	Inappropriate ADH Syndrome	1338	D007177
1500	Peptic Ulcer Perforation	1335	D010439
1501	Optic Atrophy	1334	D009896
1502	Uterine Rupture	1333	D014597
1503	Xerostomia	1332	D014987
1504	Gingival Diseases	1331	D005882
1505	Tracheal Neoplasms	1330	D014134
1506	Arm Injuries	1328	D001134
1507	Fallopian Tube Diseases	1327	D005184
1508	Dysmenorrhea	1327	D004412
1509	Hemorrhoids	1326	D006484
1510	Anuria	1326	D001002
1511	Severe Combined Immunodeficiency	1326	D016511
1512	Neurosyphilis	1324	D009494
1513	Glycogen Storage Disease	1322	D006008
1514	Fibrocystic Breast Disease	1322	D005348
1515	Empyema	1321	D004653
1516	Femoral Neoplasms	1321	D005266
1517	Fibrous Dysplasia of Bone	1316	D005357
1518	Gynecomastia	1316	D006177
1519	Influenza in Birds	1315	D005585
1520	Glomerulonephritis, Membranoproliferative	1313	D015432
1521	Bronchiolitis	1309	D001988
1522	Oligodendroglioma	1307	D009837
1523	Seizures, Febrile	1304	D003294
1524	Choroid Diseases	1300	D015862
1525	Sick Sinus Syndrome	1300	D012804
1526	Leukoplakia, Oral	1296	D007972
1527	Neoplasms, Muscle Tissue	1288	D009379
1528	Combat Disorders	1288	D003130
1529	Myelitis	1285	D009187
1530	Gait Disorders, Neurologic	1285	D020233
1531	Lipomatosis	1285	D008068
1532	Cranial Nerve Diseases	1282	D003389
1533	Goiter, Nodular	1280	D006044
1534	Appendiceal Neoplasms	1277	D001063
1535	Surgical Wound Dehiscence	1277	D013529
1536	Sigmoid Diseases	1276	D012810
1537	Encephalocele	1275	D004677
1538	Cerebral Arterial Diseases	1274	D002539
1539	Dental Pulp Diseases	1273	D003788
1540	Friedreich Ataxia	1272	D005621
1541	Myocardial Stunning	1270	D017682
1542	Kyphosis	1266	D007738
1543	Coccidioidomycosis	1263	D003047
1544	von Hippel-Lindau Disease	1256	D006623
1545	Eye Burns	1255	D005126
1546	Maxillary Diseases	1254	D008439
1547	Vaginosis, Bacterial	1250	D016585
1548	Rett Syndrome	1249	D015518
1549	Trachoma	1245	D014141
1550	Intracranial Hypertension	1245	D019586
1551	Sarcoma 180	1242	D012510
1552	Schizotypal Personality Disorder	1241	D012569
1553	Mastitis	1237	D008413
1554	Cholesteatoma	1237	D002781
1555	Arnold-Chiari Malformation	1236	D001139
1556	Adenocarcinoma, Bronchiolo-Alveolar	1235	D002282
1557	Conjunctival Neoplasms	1235	D003230
1558	Uterine Prolapse	1232	D014596
1559	Bezoars	1231	D001630
1560	Ganglioneuroma	1230	D005729
1561	Superior Vena Cava Syndrome	1230	D013479
1562	Brain Diseases, Metabolic	1227	D001928
1563	Apraxias	1227	D001072
1564	Scabies	1226	D012532
1565	Fasciitis, Necrotizing	1224	D019115
1566	Priapism	1221	D011317
1567	Thromboangiitis Obliterans	1221	D013919
1568	Protein-Losing Enteropathies	1220	D011504
1569	Chordoma	1219	D002817
1570	Babesiosis	1218	D001404
1571	Angina Pectoris, Variant	1217	D000788
1572	Aortic Arch Syndromes	1217	D001015
1573	Erythema Multiforme	1217	D004892
1574	Paraganglioma, Extra-Adrenal	1216	D010236
1575	Tuberculosis, Cutaneous	1215	D014382
1576	Asthma, Exercise-Induced	1213	D001250
1577	Multiple Endocrine Neoplasia	1211	D009377
1578	Synovial Cyst	1210	D013581
1579	Pseudarthrosis	1210	D011542
1580	Urinary Fistula	1209	D014548
1581	Digestive System Neoplasms	1205	D004067
1582	Mediastinitis	1204	D008480
1583	Anthrax	1203	D000881
1584	Biliary Tract Neoplasms	1201	D001661
1585	Spermatic Cord Torsion	1201	D013086
1586	Diverticulum, Colon	1201	D004241
1587	Polymyositis	1198	D017285
1588	Whipple Disease	1194	D008061
1589	Urinary Bladder, Overactive	1194	D053201
1590	Agoraphobia	1194	D000379
1591	Paranoid Disorders	1193	D010259
1592	Tuberculosis, Renal	1192	D014398
1593	Pyoderma	1190	D011711
1594	Tracheoesophageal Fistula	1188	D014138
1595	Nasal Obstruction	1188	D015508
1596	Torsades de Pointes	1187	D016171
1597	Self Mutilation	1187	D012652
1598	Anemia, Macrocytic	1184	D000748
1599	Diplopia	1183	D004172
1600	Lip Neoplasms	1182	D008048
1601	Empyema, Pleural	1181	D016724
1602	Premature Birth	1180	D047928
1603	Malaria, Vivax	1179	D016780
1604	Arrhythmia, Sinus	1179	D001146
1605	Trisomy	1177	D014314
1606	Confusion	1176	D003221
1607	Liver Diseases, Parasitic	1175	D008109
1608	Fallopian Tube Neoplasms	1174	D005185
1609	Eye Infections, Fungal	1173	D015821
1610	Vasculitis, Leukocytoclastic, Cutaneous	1172	D018366
1611	Acrodermatitis	1172	D000169
1612	Acute-Phase Reaction	1171	D000210
1613	Otitis Externa	1169	D010032
1614	Tachycardia, Atrioventricular Nodal Reentry	1169	D013611
1615	Seminoma	1168	D018239
1616	Vasospasm, Intracranial	1168	D020301
1617	Myosarcoma	1167	D009217
1618	Nephrosis, Lipoid	1166	D009402
1619	Supranuclear Palsy, Progressive	1164	D013494
1620	Odontogenic Cysts	1163	D009807
1621	Cystadenocarcinoma	1162	D003536
1622	Esophageal Fistula	1162	D004937
1623	Carotid Artery Thrombosis	1162	D002341
1624	Prolactinoma	1160	D015175
1625	Pancytopenia	1160	D010198
1626	Osteoma	1159	D010016
1627	Short Bowel Syndrome	1158	D012778
1628	Anodontia	1158	D000848
1629	Palatal Neoplasms	1157	D010157
1630	Spondylolisthesis	1157	D013168
1631	Polyradiculopathy	1157	D011128
1632	Jejunal Neoplasms	1153	D007580
1633	Stevens-Johnson Syndrome	1153	D013262
1634	Hyperpigmentation	1153	D017495
1635	Urethral Neoplasms	1152	D014523
1636	Diverticulitis, Colonic	1150	D004239
1637	Lactation Disorders	1149	D007775
1638	Hernia, Ventral	1147	D006555
1639	Keratoderma, Palmoplantar	1146	D007645
1640	Hemosiderosis	1144	D006486
1641	Hemorrhagic Fever with Renal Syndrome	1142	D006480
1642	Venous Thromboembolism	1140	D054556
1643	Hernia, Hiatal	1140	D006551
1644	Adenocarcinoma, Follicular	1138	D018263
1645	Thiamine Deficiency	1138	D013832
1646	Tooth Discoloration	1136	D014075
1647	Keratoconjunctivitis	1136	D007637
1648	Dermatitis, Exfoliative	1136	D003873
1649	Bronchiolitis Obliterans	1134	D001989
1650	Botulism	1132	D001906
1651	Ventricular Outflow Obstruction	1132	D014694
1652	Corneal Opacity	1129	D003318
1653	Soft Tissue Infections	1128	D018461
1654	Electric Injuries	1127	D004556
1655	Affective Disorders, Psychotic	1127	D000341
1656	Adenocarcinoma, Clear Cell	1126	D018262
1657	Hypertension, Malignant	1126	D006974
1658	Spinocerebellar Degenerations	1125	D013132
1659	Cat-Scratch Disease	1124	D002372
1660	Osteitis	1124	D010000
1661	Renal Insufficiency, Chronic	1123	D051436
1662	Lewy Body Disease	1121	D020961
1663	Rosacea	1120	D012393
1664	Nephrosis	1118	D009401
1665	Fascioliasis	1116	D005211
1666	Pneumoperitoneum	1115	D011027
1667	Lymphocytosis	1114	D008218
1668	Bacteroides Infections	1113	D001442
1669	Bursitis	1113	D002062
1670	Lymphoma, Mantle-Cell	1112	D020522
1671	Protozoan Infections	1107	D011528
1672	Neuronal Ceroid-Lipofuscinoses	1107	D009472
1673	Maxillofacial Injuries	1106	D008446
1674	Neoplasm, Residual	1104	D018365
1675	Hearing Loss, Sudden	1102	D003639
1676	Dwarfism, Pituitary	1101	D004393
1677	Bronchopulmonary Sequestration	1100	D001998
1678	Chorioretinitis	1099	D002825
1679	Blast Injuries	1095	D001753
1680	Tuberculosis, Female Genital	1094	D014384
1681	Glaucoma, Angle-Closure	1094	D015812
1682	Lameness, Animal	1094	D007794
1683	Reye Syndrome	1092	D012202
1684	Retinal Artery Occlusion	1092	D015356
1685	Paraphilias	1092	D010262
1686	Muscle Neoplasms	1089	D019042
1687	Breast Neoplasms, Male	1087	D018567
1688	Kwashiorkor	1087	D007732
1689	Foot-and-Mouth Disease	1086	D005536
1690	Intestinal Pseudo-Obstruction	1086	D007418
1691	Mycetoma	1084	D008271
1692	Leprosy, Lepromatous	1083	D015440
1693	Hemianopsia	1083	D006423
1694	Churg-Strauss Syndrome	1081	D015267
1695	Rectal Fistula	1079	D012003
1696	Galactosemias	1079	D005693
1697	Otitis Media, Suppurative	1075	D010035
1698	Adrenoleukodystrophy	1075	D000326
1699	Puerperal Infection	1074	D011645
1700	Facial Asymmetry	1074	D005146
1701	Lymphopenia	1073	D008231
1702	Chagas Cardiomyopathy	1071	D002598
1703	Chondrocalcinosis	1071	D002805
1704	Gastritis, Atrophic	1071	D005757
1705	Hearing Loss, Conductive	1069	D006314
1706	Anti-Glomerular Basement Membrane Disease	1068	D019867
1707	Meningocele	1065	D008588
1708	Blastomycosis	1063	D001759
1709	Acute Lung Injury	1062	D055371
1710	Periodontal Pocket	1061	D010514
1711	Clubfoot	1060	D003025
1712	Disorders of Excessive Somnolence	1059	D006970
1713	Lupus Erythematosus, Cutaneous	1059	D008178
1714	Mucopolysaccharidoses	1058	D009083
1715	Red-Cell Aplasia, Pure	1057	D012010
1716	Diabetic Coma	1057	D003926
1717	Meningitis, Aseptic	1056	D008582
1718	Tooth Erosion	1056	D014077
1719	Gas Gangrene	1054	D005738
1720	Acinetobacter Infections	1053	D000151
1721	Shoulder Pain	1053	D020069
1722	Granuloma, Foreign-Body	1053	D015745
1723	Hyaline Membrane Disease	1051	D006819
1724	Leg Dermatoses	1051	D007868
1725	Focal Infection, Dental	1050	D005491
1726	Malocclusion, Angle Class III	1050	D008313
1727	Agnosia	1050	D000377
1728	Vascular Fistula	1050	D016157
1729	Glomus Tumor	1048	D005918
1730	Dermatitis, Seborrheic	1048	D012628
1731	Paratuberculosis	1047	D010283
1732	Pancreatitis, Chronic	1042	D050500
1733	Subcutaneous Emphysema	1042	D013352
1734	Fractures, Closed	1042	D005596
1735	Paraparesis, Tropical Spastic	1039	D015493
1736	Fractures, Ununited	1039	D005599
1737	Carcinoma, Merkel Cell	1037	D015266
1738	Aspergillosis, Allergic Bronchopulmonary	1036	D001229
1739	Meningitis, Viral	1036	D008587
1740	Angiomyolipoma	1036	D018207
1741	Transsexualism	1036	D014189
1742	Unconsciousness	1034	D014474
1743	Catatonia	1033	D002389
1744	Psychoses, Alcoholic	1033	D011604
1745	Leydig Cell Tumor	1032	D007984
1746	Nephritis, Hereditary	1027	D009394
1747	Tonsillar Neoplasms	1025	D014067
1748	Mediastinal Cyst	1022	D008476
1749	Iris Diseases	1022	D007499
1750	Granuloma, Giant Cell	1021	D006101
1751	Cecal Neoplasms	1018	D002430
1752	Carcinoma, Neuroendocrine	1014	D018278
1753	Eye Injuries, Penetrating	1014	D015807
1754	Spherocytosis, Hereditary	1013	D013103
1755	Hypernatremia	1013	D006955
1756	Pregnancy Complications, Parasitic	1012	D015597
1757	Folliculitis	1011	D005499
1758	Anencephaly	1010	D000757
1759	Root Resorption	1008	D012391
1760	Arachnidism	1008	D001098
1761	Hernia, Umbilical	1006	D006554
1762	Gingival Neoplasms	1005	D005887
1763	Blast Crisis	1004	D001752
1764	Retinal Neovascularization	1003	D015861
1765	Adenovirus Infections, Human	1001	D000258
1766	Smallpox	1001	D012899
1767	Hypopharyngeal Neoplasms	1000	D007012
1768	Cystadenocarcinoma, Serous	999	D018284
1769	Sickle Cell Trait	999	D012805
1770	Hysteria	998	D007046
1771	Hydrops Fetalis	997	D015160
1772	Myiasis	996	D009198
1773	Situs Inversus	995	D012857
1774	Tenosynovitis	994	D013717
1775	Niemann-Pick Diseases	994	D009542
1776	Anemia, Hemolytic, Congenital	994	D000745
1777	Myositis Ossificans	993	D009221
1778	Tuberculosis, Pleural	989	D014396
1779	Osteoarthropathy, Secondary Hypertrophic	989	D010005
1780	Carcinoma, Endometrioid	988	D018269
1781	Alcohol-Related Disorders	988	D019973
1782	Mitochondrial Myopathies	987	D017240
1783	Cystitis, Interstitial	987	D018856
1784	Megacolon	986	D008531
1785	Tularemia	983	D014406
1786	Coccidiosis	982	D003048
1787	Pulpitis	982	D011671
1788	Tooth Abrasion	982	D014072
1789	Pasteurella Infections	981	D010326
1790	Discitis	981	D015299
1791	Hypereosinophilic Syndrome	981	D017681
1792	Common Variable Immunodeficiency	980	D017074
1793	Extravasation of Diagnostic and Therapeutic Materials	980	D005119
1794	Urethral Stricture	976	D014525
1795	Impulse Control Disorders	976	D007174
1796	Elephantiasis, Filarial	973	D004605
1797	Tuberculoma	972	D014375
1798	Pyoderma Gangrenosum	972	D017511
1799	Gastric Fistula	971	D005747
1800	Chorioamnionitis	971	D002821
1801	Conversion Disorder	971	D003291
1802	Hyperhidrosis	969	D006945
1803	Gliosis	968	D005911
1804	Pneumatosis Cystoides Intestinalis	966	D011006
1805	Toxoplasmosis, Congenital	964	D014125
1806	Androgen-Insensitivity Syndrome	962	D013734
1807	Vitamin B 6 Deficiency	961	D026681
1808	Paracoccidioidomycosis	959	D010229
1809	Hemothorax	959	D006491
1810	Dysgammaglobulinemia	959	D004406
1811	Plaque, Amyloid	959	D058225
1812	Endocarditis, Subacute Bacterial	958	D004698
1813	Neuroma	958	D009463
1814	Heart Rupture	958	D006341
1815	Hypophosphatemia, Familial	957	D007015
1816	Parotid Diseases	956	D010305
1817	Darier Disease	956	D007644
1818	Endometritis	955	D004716
1819	Achondroplasia	954	D000130
1820	Tissue Adhesions	954	D000267
1821	Fibrosis	953	D005355
1822	Uterine Cervicitis	952	D002575
1823	Arachnoid Cysts	950	D016080
1824	Lacrimal Duct Obstruction	949	D007767
1825	Pulmonary Alveolar Proteinosis	944	D011649
1826	Bronchopneumonia	943	D001996
1827	Cerebrospinal Fluid Rhinorrhea	943	D002559
1828	Thoracic Outlet Syndrome	942	D013901
1829	Granulosa Cell Tumor	941	D006106
1830	alpha-Thalassemia	940	D017085
1831	Spinocerebellar Ataxias	939	D020754
1832	Schistosomiasis haematobia	938	D012553
1833	Bartter Syndrome	938	D001477
1834	Headache Disorders	936	D020773
1835	Cardiovascular Abnormalities	936	D018376
1836	Malaria, Cerebral	935	D016779
1837	Lymphocytic Choriomeningitis	934	D008216
1838	Postgastrectomy Syndromes	934	D011178
1839	Abdominal Abscess	933	D018784
1840	Tuberculosis, Urogenital	932	D014401
1841	Spina Bifida Occulta	932	D016136
1842	Intracranial Thrombosis	931	D020767
1843	AIDS-Related Complex	929	D000386
1844	Lichen Planus, Oral	929	D017676
1845	Lung Diseases, Parasitic	928	D008174
1846	Syncope, Vasovagal	928	D019462
1847	Orchitis	928	D009920
1848	Mixed Connective Tissue Disease	925	D008947
1849	Cytomegalovirus Retinitis	924	D017726
1850	Amphetamine-Related Disorders	924	D019969
1851	Trichomonas Infections	922	D014245
1852	Milk Hypersensitivity	922	D016269
1853	Echinococcosis, Pulmonary	921	D004445
1854	Biliary Atresia	920	D001656
1855	Polyomavirus Infections	918	D027601
1856	Acid-Base Imbalance	917	D000137
1857	Zoonoses	914	D015047
1858	Maxillary Sinusitis	914	D015523
1859	Hepatomegaly	913	D006529
1860	Jaundice, Obstructive	913	D041781
1861	Hypothalamic Diseases	911	D007027
1862	Leukemia P388	904	D007941
1863	Motor Skills Disorders	903	D019957
1864	Pseudoxanthoma Elasticum	902	D011561
1865	Anemia, Sideroblastic	902	D000756
1866	Neck Injuries	902	D019838
1867	Multiple System Atrophy	901	D019578
1868	Cadmium Poisoning	900	D002105
1869	Osteosclerosis	899	D010026
1870	Heart Septal Defects	899	D006343
1871	Pseudopseudohypoparathyroidism	897	D011556
1872	Melioidosis	896	D008554
1873	Meningitis, Haemophilus	895	D008583
1874	Respirovirus Infections	895	D010253
1875	Trypanosomiasis	894	D014352
1876	Rickettsia Infections	893	D012282
1877	Esotropia	893	D004948
1878	Neuroectodermal Tumors, Primitive, Peripheral	891	D018241
1879	Horner Syndrome	891	D006732
1880	Urinary Bladder Calculi	891	D001744
1881	Hand Deformities, Congenital	890	D006228
1882	Vibrio Infections	888	D014735
1883	Paramyxoviridae Infections	888	D018184
1884	DiGeorge Syndrome	887	D004062
1885	Mesenchymoma	885	D008637
1886	Epididymitis	885	D004823
1887	Encephalitis, Tick-Borne	884	D004675
1888	Anovulation	884	D000858
1889	Toothache	883	D014098
1890	Muscle Hypotonia	882	D009123
1891	Dupuytren Contracture	881	D004387
1892	Keratoacanthoma	881	D007636
1893	Afibrinogenemia	875	D000347
1894	Mushroom Poisoning	875	D009145
1895	Dentin Sensitivity	873	D003807
1896	Salpingitis	867	D012488
1897	Plague	866	D010930
1898	Abortion, Threatened	866	D000033
1899	Leukemia, Myelomonocytic, Acute	864	D015479
1900	Peutz-Jeghers Syndrome	864	D010580
1901	Craniofacial Dysostosis	863	D003394
1902	Peritonitis, Tuberculous	862	D014395
1903	Hydrocephalus, Normal Pressure	861	D006850
1904	Child Nutrition Disorders	861	D015362
1905	Proctitis	860	D011349
1906	Neuroectodermal Tumors, Primitive	859	D018242
1907	Hepatitis, Alcoholic	859	D006519
1908	Dystonic Disorders	859	D020821
1909	Immunoblastic Lymphadenopathy	859	D007119
1910	Subclavian Steal Syndrome	858	D013349
1911	Periapical Periodontitis	857	D010485
1912	Syphilis, Congenital	856	D013590
1913	Gingival Hyperplasia	855	D005885
1914	Toxoplasmosis, Ocular	854	D014126
1915	Catalepsy	852	D002375
1916	Ovarian Hyperstimulation Syndrome	852	D016471
1917	Paget Disease, Extramammary	851	D010145
1918	Cutaneous Fistula	850	D017577
1919	Lymphoma, Large-Cell, Anaplastic	849	D017728
1920	Neurocysticercosis	847	D020019
1921	Polychondritis, Relapsing	846	D011081
1922	Urinary Bladder Fistula	843	D001747
1923	Aggressive Periodontitis	842	D010520
1924	Williams Syndrome	842	D018980
1925	Kidney Tubular Necrosis, Acute	842	D007683
1926	Hepatitis, Viral, Animal	841	D006524
1927	Diverticulitis	840	D004238
1928	Urethral Obstruction	837	D014524
1929	Metrorrhagia	837	D008796
1930	Noonan Syndrome	836	D009634
1931	Rib Fractures	835	D012253
1932	Maxillary Sinus Neoplasms	833	D008444
1933	Fibromuscular Dysplasia	832	D005352
1934	Epilepsy, Complex Partial	831	D017029
1935	Conduct Disorder	830	D019955
1936	Theileriasis	829	D013801
1937	Sezary Syndrome	829	D012751
1938	Adenoma, Oxyphilic	826	D018249
1939	Placenta Previa	826	D010923
1940	Takotsubo Cardiomyopathy	825	D054549
1941	Congenital Hypothyroidism	824	D003409
1942	Multiple Sclerosis, Chronic Progressive	823	D020528
1943	Laryngostenosis	822	D007829
1944	Dental Occlusion, Traumatic	821	D003769
1945	Tetany	821	D013746
1946	Adenoma, Bile Duct	819	D002759
1947	Legg-Perthes Disease	819	D007873
1948	Epiphyses, Slipped	818	D004839
1949	Skin Diseases, Vascular	818	D017445
1950	Nerve Sheath Neoplasms	816	D018317
1951	Exocrine Pancreatic Insufficiency	815	D010188
1952	Consciousness Disorders	815	D003244
1953	Munchausen Syndrome	815	D009110
1954	West Nile Fever	813	D014901
1955	Endomyocardial Fibrosis	812	D004719
1956	Glycogen Storage Disease Type I	812	D005953
1957	Lip Diseases	810	D008047
1958	Dysarthria	810	D004401
1959	Multiple Endocrine Neoplasia Type 1	809	D018761
1960	Central Nervous System Vascular Malformations	809	D020785
1961	Mucopolysaccharidosis I	809	D008059
1962	Mastoiditis	808	D008417
1963	Pseudohypoparathyroidism	807	D011547
1964	Esophageal Motility Disorders	807	D015154
1965	Respiratory Paralysis	807	D012133
1966	Marek Disease	806	D008380
1967	Attention Deficit and Disruptive Behavior Disorders	806	D019958
1968	Enterocolitis	803	D004760
1969	Homocystinuria	803	D006712
1970	Bruxism	802	D002012
1971	Aphasia, Broca	802	D001039
1972	Scotoma	802	D012607
1973	Hookworm Infections	800	D006725
1974	Werner Syndrome	800	D014898
1975	Factitious Disorders	799	D005162
1976	Coloboma	797	D003103
1977	Tension-Type Headache	796	D018781
1978	Sciatic Neuropathy	795	D020426
1979	Frostbite	794	D005627
1980	Granular Cell Tumor	793	D016586
1981	Chromosome Disorders	793	D025063
1982	Bovine Virus Diarrhea-Mucosal Disease	792	D001912
1983	Pneumocephalus	792	D011007
1984	Muscle Cramp	791	D009120
1985	Alcohol Withdrawal Delirium	791	D000430
1986	Adrenocortical Hyperfunction	791	D000308
1987	Burns, Electric	791	D002058
1988	Neoplastic Syndromes, Hereditary	790	D009386
1989	Optic Neuropathy, Ischemic	790	D018917
1990	Proteus Infections	789	D011512
1991	Hepatitis, Animal	789	D006520
1992	Latex Hypersensitivity	789	D020315
1993	Bowen's Disease	788	D001913
1994	Meningitis, Cryptococcal	787	D016919
1995	Esophageal Atresia	786	D004933
1996	Fractures, Open	786	D005597
1997	Hepatitis D	785	D003699
1998	Hypospadias	785	D007021
1999	Phyllodes Tumor	784	D003557
2000	Fissure in Ano	784	D005401
2001	Tooth Avulsion	784	D014084
2002	Hyperplasia	784	D006965
2003	Keratitis, Herpetic	783	D016849
2004	HELLP Syndrome	783	D017359
2005	Pterygium	781	D011625
2006	Female Urogenital Diseases	781	D052776
2007	Orbital Fractures	781	D009917
2008	Leukemia, Radiation-Induced	780	D007953
2009	Malignant Carcinoid Syndrome	780	D008303
2010	Wernicke Encephalopathy	780	D014899
2011	Galactorrhea	779	D005687
2012	Hemarthrosis	778	D006395
2013	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	777	D015452
2014	Microphthalmos	777	D008850
2015	Nervous System Neoplasms	775	D009423
2016	Duodenitis	775	D004382
2017	Hernia, Diaphragmatic, Traumatic	775	D006549
2018	Carotid Artery Injuries	772	D020212
2019	Oculomotor Nerve Diseases	771	D015840
2020	Articulation Disorders	771	D001184
2021	Tooth, Supernumerary	770	D014096
2022	Encephalomyelitis, Acute Disseminated	769	D004673
2023	Adnexal Diseases	769	D000291
2024	Penile Induration	767	D010411
2025	Otorhinolaryngologic Neoplasms	766	D010039
2026	Sporotrichosis	765	D013174
2027	Dirofilariasis	762	D004184
2028	Sweet Syndrome	762	D016463
2029	Staphylococcal Skin Infections	761	D013207
2030	Opisthorchiasis	758	D009889
2031	Adenofibroma	757	D000232
2032	Vision, Low	757	D015354
2033	Ascorbic Acid Deficiency	757	D001206
2034	Arrhythmogenic Right Ventricular Dysplasia	756	D019571
2035	Skin Diseases, Parasitic	755	D012876
2036	Newcastle Disease	754	D009521
2037	Entamoebiasis	752	D004749
2038	Hearing Loss, Bilateral	752	D006312
2039	Psittacosis	750	D009956
2040	Herpes Zoster Ophthalmicus	750	D006563
2041	Migraine with Aura	748	D020325
2042	Panniculitis	748	D015434
2043	Schistosomiasis japonica	747	D012554
2044	Genetic Diseases, X-Linked	747	D040181
2045	Mast-Cell Sarcoma	746	D012515
2046	Carcinoma, Lewis Lung	744	D018827
2047	Cystinuria	744	D003555
2048	Ulna Fractures	744	D014458
2049	Lice Infestations	743	D010373
2050	Asperger Syndrome	743	D020817
2051	Periapical Diseases	741	D010483
2052	Tuberculosis, Bovine	738	D014380
2053	Nephrocalcinosis	738	D009397
2054	Actinomycetales Infections	737	D000193
2055	Carcinoma, Signet Ring Cell	735	D018279
2056	Bulimia Nervosa	735	D052018
